group_family,Nc,Nt,Ns,nF,nAS,nS,nADJ,name,beta,mass,Ls,alpha,a5,M5,mpv,therm,delta_traj
Sp,4,8,8,2,0,0,0,B1M1,7.4,0.1,8,1.75,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B1M2,7.4,0.09,8,1.75,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B1M3,7.4,0.08,8,1.75,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B1M4,7.4,0.07,8,1.75,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B1M5,7.4,0.06,8,1.75,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B1M6,7.4,0.05,8,1.75,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B1M7,7.4,0.04,8,1.75,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B1M8,7.4,0.03,8,1.75,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B1M9,7.4,0.02,8,1.75,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B1M10,7.4,0.01,8,1.75,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B2M1,7.5,0.1,8,1.625,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B2M2,7.5,0.09,8,1.625,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B2M3,7.5,0.08,8,1.625,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B2M4,7.5,0.07,8,1.625,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B2M5,7.5,0.06,8,1.625,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B2M6,7.5,0.05,8,1.625,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B2M7,7.5,0.04,8,1.625,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B2M8,7.5,0.03,8,1.625,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B2M9,7.5,0.02,8,1.625,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B2M10,7.5,0.01,8,1.625,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B3M1,7.6,0.1,8,1.5,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B3M2,7.6,0.09,8,1.5,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B3M3,7.6,0.08,8,1.5,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B3M4,7.6,0.07,8,1.5,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B3M5,7.6,0.06,8,1.5,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B3M6,7.6,0.05,8,1.5,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B3M7,7.6,0.04,8,1.5,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B3M8,7.6,0.03,8,1.5,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B3M9,7.6,0.02,8,1.5,1.0,1.8,1.0,150,5
