group_family,Nc,Nt,Ns,nF,nAS,nS,nADJ,name,beta,mass,Ls,alpha,a5,M5,mpv,therm,delta_traj,mres_p_start,mres_p_end
Sp,4,32,16,2,0,0,0,B1M1S1,7.4,0.06,8,1,1,1.8,1,150,5,9,15
Sp,4,32,16,2,0,0,0,B1M1S2,7.4,0.06,8,1.25,1,1.8,1,150,5,11,23
Sp,4,32,16,2,0,0,0,B1M1S3,7.4,0.06,8,1.5,1,1.8,1,150,5,8,15
Sp,4,32,16,2,0,0,0,B1M1S4,7.4,0.06,8,1.75,1,1.8,1,150,5,8,23
Sp,4,32,16,2,0,0,0,B1M1S5,7.4,0.06,8,2,1,1.8,1,150,5,6,22
Sp,4,32,16,2,0,0,0,B1M1S6,7.4,0.06,8,2.25,1,1.8,1,150,5,9,17
Sp,4,32,16,2,0,0,0,B1M1S7,7.4,0.06,8,2.5,1,1.8,1,150,5,9,25
Sp,4,32,16,2,0,0,0,B1M1S8,7.4,0.06,8,2.75,1,1.8,1,150,5,10,22
Sp,4,32,16,2,0,0,0,B1M1S9,7.4,0.06,8,1.75,0.2,1.8,1,150,5,10,16
Sp,4,32,16,2,0,0,0,B1M1S10,7.4,0.06,8,1.75,0.5,1.8,1,150,5,16,23
Sp,4,32,16,2,0,0,0,B1M1S11,7.4,0.06,8,1.75,0.7,1.8,1,150,5,17,24
Sp,4,32,16,2,0,0,0,B1M1S12,7.4,0.06,8,1.75,0.9,1.8,1,150,5,8,24
Sp,4,32,16,2,0,0,0,B1M1S13,7.4,0.06,8,1.75,1.1,1.8,1,150,5,7,24
Sp,4,32,16,2,0,0,0,B1M1S14,7.4,0.06,8,1.75,1.2,1.8,1,150,5,8,24
Sp,4,32,16,2,0,0,0,B1M1S15,7.4,0.06,8,1.75,1.4,1.8,1,150,5,14,18
Sp,4,32,16,2,0,0,0,B1M1S16,7.4,0.06,8,1.75,1,1.4,1,150,5,9,18
Sp,4,32,16,2,0,0,0,B1M1S17,7.4,0.06,8,1.75,1,1.5,1,150,5,17,27
Sp,4,32,16,2,0,0,0,B1M1S18,7.4,0.06,8,1.75,1,1.6,1,150,5,14,25
Sp,4,32,16,2,0,0,0,B1M1S19,7.4,0.06,8,1.75,1,1.7,1,150,5,11,23
Sp,4,32,16,2,0,0,0,B1M1S20,7.4,0.06,8,1.75,1,1.75,1,150,5,10,22
Sp,4,32,16,2,0,0,0,B1M1S21,7.4,0.06,8,1.75,1,1.85,1,150,5,10,22
Sp,4,32,16,2,0,0,0,B1M1S22,7.4,0.06,8,1.75,1,1.9,1,150,5,15,24
Sp,4,32,16,2,0,0,0,B1M1S23,7.4,0.06,8,1.75,1,1.8,0.3,150,5,14,23
Sp,4,32,16,2,0,0,0,B1M1S24,7.4,0.06,8,1.75,1,1.8,0.7,150,5,16,25
Sp,4,32,16,2,0,0,0,B1M1S25,7.4,0.06,8,1.75,1,1.8,0.9,150,5,7,15
Sp,4,32,16,2,0,0,0,B1M1S26,7.4,0.06,8,1.75,1,1.8,1.1,150,5,7,23
Sp,4,32,16,2,0,0,0,B1M1S27,7.4,0.06,8,1.75,1,1.8,1.3,150,5,15,24
Sp,4,32,16,2,0,0,0,B1M1S28,7.4,0.06,8,1.75,1,1.8,1.6,150,5,13,21
Sp,4,32,16,2,0,0,0,B1M2S1,7.4,0.02,8,1,1,1.8,1,150,5,15,22
Sp,4,32,16,2,0,0,0,B1M2S2,7.4,0.02,8,1.25,1,1.8,1,150,5,10,17
Sp,4,32,16,2,0,0,0,B1M2S3,7.4,0.02,8,1.5,1,1.8,1,150,5,13,24
Sp,4,32,16,2,0,0,0,B1M2S4,7.4,0.02,8,1.75,1,1.8,1,150,5,7,26
Sp,4,32,16,2,0,0,0,B1M2S5,7.4,0.02,8,2,1,1.8,1,150,5,10,20
Sp,4,32,16,2,0,0,0,B1M2S6,7.4,0.02,8,2.25,1,1.8,1,150,5,13,24
Sp,4,32,16,2,0,0,0,B1M2S7,7.4,0.02,8,2.5,1,1.8,1,150,5,7,22
Sp,4,32,16,2,0,0,0,B1M2S8,7.4,0.02,8,2.75,1,1.8,1,150,5,11,20
Sp,4,32,16,2,0,0,0,B1M2S9,7.4,0.02,8,1.75,0.2,1.8,1,150,5,13,19
Sp,4,32,16,2,0,0,0,B1M2S10,7.4,0.02,8,1.75,0.5,1.8,1,150,5,13,20
Sp,4,32,16,2,0,0,0,B1M2S11,7.4,0.02,8,1.75,0.7,1.8,1,150,5,10,20
Sp,4,32,16,2,0,0,0,B1M2S12,7.4,0.02,8,1.75,0.9,1.8,1,150,5,8,19
Sp,4,32,16,2,0,0,0,B1M2S13,7.4,0.02,8,1.75,1.1,1.8,1,150,5,10,20
Sp,4,32,16,2,0,0,0,B1M2S14,7.4,0.02,8,1.75,1.2,1.8,1,150,5,9,19
